asin,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
AFR001,Philips NA120/00 Air Fryer with Rapid Air Technology,Philips,Air Fryer,7999,4.5,2100,https://m.media-amazon.com/images/I/41Z5ldkAeYL._SL1000_.jpg,https://www.amazon.in/dp/B0D14BB5XY,In Stock,Amazon
AFR002,Pigeon Healthifry Digital Air Fryer 4.2L,Pigeon,Air Fryer,3499,4.2,32000,https://m.media-amazon.com/images/I/71NZiryyhbL._SL1500_.jpg,https://www.amazon.in/dp/B0B8XNPQPN,In Stock,Amazon
AFR003,KENT Digi Plus Air Fryer,KENT,Air Fryer,5499,4.3,850,https://m.media-amazon.com/images/I/51aQUeYhK1L._SL1080_.jpg,https://www.amazon.in/dp/B0DKSRGQMS,In Stock,Amazon
AFR004,4.2L Digital Air Fryer with Temperature Control,Generic,Air Fryer,3299,4.1,500,https://m.media-amazon.com/images/I/61ZLAor5y1L._SL1500_.jpg,https://www.amazon.in/dp/B0DNQYFJMQ,In Stock,Amazon
AFR005,Prestige Nutrifry Electric Digital Air Fryer 4.5L,Prestige,Air Fryer,3590,3.5,1490,https://m.media-amazon.com/images/I/71FFZ9NnI5L._SL1500_.jpg,https://www.amazon.in/dp/B0CXQ8R7G2,In Stock,Amazon
AFR006,KENT Digital Air Fryer 8L 1700W with Touch Control,KENT,Air Fryer,5299,4.3,1200,https://m.media-amazon.com/images/I/816RQh3J2qL._SL1500_.jpg,https://www.amazon.in/dp/B0DGKY4WLP,In Stock,Amazon
CFM001,Nescafe Dolce Gusto Coffee Machine for Cafe Style Espresso & Cappuccino,Nescafe,Coffee Maker,7999,4.5,8000,https://m.media-amazon.com/images/I/51CG7fT4ShL._SL1500_.jpg,https://www.amazon.in/dp/B07H3LQP5K,In Stock,Amazon
CFM002,Borosil Borosilicate Glass Coffee Maker with Anti-Drip System,Borosil,Coffee Maker,2499,4.3,1200,https://m.media-amazon.com/images/I/61x2BKrHBKL._SL1000_.jpg,https://www.amazon.in/dp/B0DG5Z3VYZ,In Stock,Amazon
CFM003,Pigeon Brewster Coffee Maker with Permanent Filter,Pigeon,Coffee Maker,1599,4.2,6500,https://m.media-amazon.com/images/I/51q9WR-LfHL._SL1000_.jpg,https://www.amazon.in/dp/B07WJ4NG21,In Stock,Amazon
CFM004,Agaro Imperial Espresso Coffee Maker with Milk Frother,Agaro,Coffee Maker,5499,4.3,2100,https://m.media-amazon.com/images/I/61TzucD-9mL._SL1500_.jpg,https://www.amazon.in/dp/B0CDBY4BDC,In Stock,Amazon
CFM005,Inalsa Espresso Coffee Maker with Steam Wand,Inalsa,Coffee Maker,6299,4.2,950,https://m.media-amazon.com/images/I/71drOx2anhL._SL1500_.jpg,https://www.amazon.in/dp/B0G12JMCC5,In Stock,Amazon
CFM006,Havells Donato Espresso Coffee Maker with Milk Frother,Havells,Coffee Maker,6999,4.4,700,https://m.media-amazon.com/images/I/61EAa8gTf8L._SL1500_.jpg,https://www.amazon.in/dp/B0DPWZR53N,In Stock,Amazon
